START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,hour,weekday,month,day_type,part_of_day
01/01/2016 21:11,01/01/2016 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,21,Friday,1,Weekday,Night
02/01/2016 1:25,02/01/2016 1:37,Business,Fort Pierce,Fort Pierce,5,Personal,1,Saturday,1,Weekend,Late Night
02/01/2016 20:25,02/01/2016 20:38,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,20,Saturday,1,Weekend,Evening
05/01/2016 17:31,05/01/2016 17:45,Business,Fort Pierce,Fort Pierce,4.7,Meeting,17,Tuesday,1,Weekday,Evening
06/01/2016 14:42,06/01/2016 15:49,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,14,Wednesday,1,Weekday,Afternoon
06/01/2016 17:15,06/01/2016 17:19,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,17,Wednesday,1,Weekday,Evening
06/01/2016 17:30,06/01/2016 17:35,Business,West Palm Beach,Palm Beach,7.1,Meeting,17,Wednesday,1,Weekday,Evening
07/01/2016 13:27,07/01/2016 13:33,Business,Cary,Cary,0.8,Meeting,13,Thursday,1,Weekday,Afternoon
10/01/2016 8:05,10/01/2016 8:25,Business,Cary,Morrisville,8.3,Meeting,8,Sunday,1,Weekend,Morning
10/01/2016 12:17,10/01/2016 12:44,Business,Jamaica,New York,16.5,Customer Visit,12,Sunday,1,Weekend,Afternoon
10/01/2016 15:08,10/01/2016 15:51,Business,New York,Queens,10.8,Meeting,15,Sunday,1,Weekend,Afternoon
10/01/2016 18:18,10/01/2016 18:53,Business,Elmhurst,New York,7.5,Meeting,18,Sunday,1,Weekend,Evening
10/01/2016 19:12,10/01/2016 19:32,Business,Midtown,East Harlem,6.2,Meeting,19,Sunday,1,Weekend,Evening
11/01/2016 8:55,11/01/2016 9:21,Business,East Harlem,NoMad,6.4,Temporary Site,8,Monday,1,Weekday,Morning
11/01/2016 11:56,11/01/2016 12:03,Business,Flatiron District,Midtown,1.6,Errand/Supplies,11,Monday,1,Weekday,Morning
